,x,y
"H(1,8)",43875,24801
"H(1,9)",43875,25401
"H(2,1)",44875,20771
"H(2,2)",44875,21366
"H(2,3)",44875,21966
"H(2,4)",44875,22566
"H(2,5)",44875,23166
"H(2,6)",44875,23766
"H(2,7)",44875,24366
"H(2,8)",44875,24966
"H(2,9)",44875,25566
"H(2,10)",44875,26166
"H(3,1)",45775,20543
"H(3,2)",45775,21143
"H(3,3)",45775,21743
"H(3,4)",45775,22343
"H(3,5)",45775,22943
"H(3,6)",45775,23543
"H(3,7)",45775,24143
"H(3,8)",45775,24743
"H(3,9)",45775,25343
"H(3,10)",45775,25943
"H(3,11)",45775,26543
"H(4,1)",46675,20606
"H(4,2)",46675,21206
"H(4,3)",46675,21806
"H(4,4)",46675,22406
"H(4,5)",46675,23006
"H(4,6)",46675,23606
"H(4,7)",46675,24206
"H(4,8)",46675,24806
"H(4,9)",46675,25406
"H(4,10)",46675,26006
"H(4,11)",46675,26606
"H(4,12)",46675,27206
"H(5,1)",47575,20689
"H(5,2)",47575,21289
"H(5,3)",47575,21889
"H(5,4)",47575,22489
"H(5,5)",47575,23089
"H(5,6)",47575,23689
"H(5,7)",47575,24289
"H(5,8)",47575,24889
"H(5,9)",47575,25489
"H(5,10)",47575,26089
"H(5,11)",47575,26689
"H(5,12)",47575,27289
"H(5,13)",47575,27889
"I(1,1)",43521,28248
"I(1,2)",43097,28672
"I(1,3)",42673,29096
"I(1,4)",42249,29520
"I(1,5)",41825,29944
"I(1,6)",41401,30368
"I(2,1)",44733,28457
"I(2,2)",44309,28881
"I(2,3)",43885,29305
"I(2,4)",43461,29729
"I(2,5)",43037,30153
"I(2,6)",42613,30577
"I(2,7)",42189,31001
"I(2,8)",41765,31425
"I(3,1)",45526,28862
"I(3,2)",45102,29286
"I(3,3)",44678,29710
"I(3,4)",44254,30134
"I(3,5)",43830,30558
"I(3,6)",43406,30982
"I(3,7)",42982,31406
"I(3,8)",42558,31830
"I(3,9)",42134,32254
"I(4,1)",46337,29346
"I(4,2)",45913,29770
"I(4,3)",45489,30194
"I(4,4)",45065,30618
"I(4,5)",44641,31042
"I(4,6)",44217,31466
"I(4,7)",43793,31890
"I(4,8)",43369,32314
"I(4,9)",42945,32738
"I(4,10)",42521,33162
"I(5,1)",46966,30033
"I(5,2)",46541,30457
"I(5,3)",46116,30881
"I(5,4)",45691,31305
"I(5,5)",45266,31729
"I(5,6)",44841,32153
"I(5,7)",44416,32577
"I(5,8)",43991,33001
"I(5,9)",43566,33425
"I(5,10)",43141,33849
J(1_1),38978,30852
J(1_2),38378,30852
J(1_3),37778,30852
J(1_4),37178,30852
J(1_5),36578,30852
J(1_6),35978,30852
J(1_7),35378,30852
J(2_1),39578,31852
J(2_2),38978,31852
J(2_3),38378,31852
J(2_4),37778,31852
J(2_5),37178,31852
J(2_6),36578,31852
J(2_7),35978,31852
J(2_8),35378,31852
J(3_1),40178,32752
J(3_2),39578,32752
J(3_3),38978,32752
J(3_4),38378,32752
J(3_5),37778,32752
J(3_6),37178,32752
J(3_7),36578,32752
J(3_8),35978,32752
J(3_9),35378,32752
J(4_1),40778,33652
J(4_2),40178,33652
J(4_3),39578,33652
J(4_4),38978,33652
J(4_5),38378,33652
J(4_6),37778,33652
J(4_7),37178,33652
J(4_8),36578,33652
J(4_9),35978,33652
J(4_10),35378,33652
J(5_1),40778,34552
J(5_2),40178,34552
J(5_3),39578,34552
J(5_4),38978,34552
J(5_5),38378,34552
J(5_6),37778,34552
J(5_7),37178,34552
J(5_8),36578,34552
J(5_9),35978,34552
J(5_10),35378,34552
"K(1,1)",27020,31568
"K(1,2)",26420,31568
"K(1,3)",25820,31568
"K(1,4)",25220,31568
"K(1,5)",24620,31568
"K(1,6)",24020,31568
"K(1,7)",23420,31568
"K(2,1)",30881,33058
"K(2,2)",30281,33058
"K(2,3)",29681,33058
"K(2,4)",29081,33058
"K(2,5)",28481,33058
"K(2,6)",27881,33058
"K(2,7)",27281,33058
"K(2,8)",26681,33058
"K(2,9)",26081,33058
"K(2,10)",25481,33058
"K(2,11)",24881,33058
"K(2,12)",24281,33058
"K(2,13)",23681,33058
"K(2,14)",23081,33058
"K(2,15)",22481,33058
"K(2,16)",21881,33058
"K(2,17)",21281,33058
"K(2,18)",20681,33058
"K(2,19)",20081,33058
"K(2,20)",19481,33058
"K(3,1)",31481,34560
"K(3,2)",30881,34560
"K(3,3)",30281,34560
"K(3,4)",29681,34560
"K(3,5)",29081,34560
"K(3,6)",28481,34560
"K(3,7)",27881,34560
"K(3,8)",27281,34560
"K(3,9)",26681,34560
"K(3,10)",26081,34560
"K(3,11)",25481,34560
"K(3,12)",24881,34560
"K(3,13)",24281,34560
"K(3,14)",23681,34560
"K(3,15)",23081,34560
"K(3,16)",22481,34560
"K(3,17)",21881,34560
"K(3,18)",21281,34560
"K(3,19)",20681,34560
"K(3,20)",20081,34560
"K(3,21)",19481,34560
"K(3,22)",18881,34560
"L(1,1)",15107,30852
"L(1,2)",14507,30852
"L(1,3)",13907,30852
"L(1,4)",13307,30852
"L(1,5)",12707,30852
"L(1,6)",12107,30852
"L(1,7)",11507,30852
"L(2,1)",15107,31852
"L(2,2)",14507,31852
"L(2,3)",13907,31852
"L(2,4)",13307,31852
"L(2,5)",12707,31852
"L(2,6)",12107,31852
"L(2,7)",11507,31852
"L(2,8)",10907,31852
"L(3,1)",15107,32752
"L(3,2)",14507,32752
"L(3,3)",13907,32752
"L(3,4)",13307,32752
"L(3,5)",12707,32752
"L(3,6)",12107,32752
"L(3,7)",11507,32752
"L(3,8)",10907,32752
"L(3,9)",10307,32752
"L(4,1)",15107,33654
"L(4,2)",14507,33654
"L(4,3)",13907,33654
"L(4,4)",13307,33654
"L(4,5)",12707,33654
"L(4,6)",12107,33654
"L(4,7)",11507,33654
"L(4,8)",10907,33654
"L(4,9)",10307,33654
"L(5,1)",16307,34552
"L(5,2)",15707,34552
"L(5,3)",15107,34552
"L(5,4)",14507,34552
"L(5,5)",13907,34552
"L(5,6)",13307,34552
"L(5,7)",12707,34552
"L(5,8)",12107,34552
"L(5,9)",11507,34552
"L(5,10)",10907,34552
"L(5,11)",10307,34552
"L(5,12)",9707,34552
