,x,y
G_4_5,46670,12652
G_4_6,46670,13252
G_4_7,46670,13852
G_4_8,46670,14452
G_4_9,46670,15052
G_4_10,46670,15652
G_4_11,46670,16252
G_4_12,46670,16852
G_5_1,47570,9652
G_5_2,47570,10252
G_5_3,47570,10852
G_5_4,47570,11452
G_5_5,47570,12052
G_5_6,47570,12652
G_5_7,47570,13252
G_5_8,47570,13852
G_5_9,47570,14452
G_5_10,47570,15052
G_5_11,47570,15652
G_5_12,47570,16252
G_5_13,47570,16852
H_1_1,43875,20601
H_1_2,43875,21201
H_1_3,43875,21801
H_1_4,43875,22401
H_1_5,43875,23001
H_1_6,43875,23601
H_1_7,43875,24201
H_1_8,43875,24801
H_1_9,43875,25401
H_2_1,44875,20771
H_2_2,44875,21366
H_2_3,44875,21966
H_2_4,44875,22566
H_2_5,44875,23166
H_2_6,44875,23766
H_2_7,44875,24366
H_2_8,44875,24966
H_2_9,44875,25566
H_2_10,44875,26166
H_3_1,45775,20543
H_3_2,45775,21143
H_3_3,45775,21743
H_3_4,45775,22343
H_3_5,45775,22943
H_3_6,45775,23543
H_3_7,45775,24143
H_3_8,45775,24743
H_3_9,45775,25343
H_3_10,45775,25943
H_3_11,45775,26543
H_4_1,46675,20606
H_4_2,46675,21206
H_4_3,46675,21806
H_4_4,46675,22406
H_4_5,46675,23006
H_4_6,46675,23606
H_4_7,46675,24206
H_4_8,46675,24806
H_4_9,46675,25406
H_4_10,46675,26006
H_4_11,46675,26606
H_4_12,46675,27206
H_5_1,47575,20689
H_5_2,47575,21289
H_5_3,47575,21889
H_5_4,47575,22489
H_5_5,47575,23089
H_5_6,47575,23689
H_5_7,47575,24289
H_5_8,47575,24889
H_5_9,47575,25489
H_5_10,47575,26089
H_5_11,47575,26689
H_5_12,47575,27289
H_5_13,47575,27889
I_1_1,43521,28248
I_1_2,43097,28672
I_1_3,42673,29096
I_1_4,42249,29520
I_1_5,41825,29944
I_1_6,41401,30368
I_2_1,44733,28457
I_2_2,44309,28881
I_2_3,43885,29305
I_2_4,43461,29729
I_2_5,43037,30153
I_2_6,42613,30577
I_2_7,42189,31001
I_2_8,41765,31425
I_3_1,45526,28862
I_3_2,45102,29286
I_3_3,44678,29710
I_3_4,44254,30134
I_3_5,43830,30558
I_3_6,43406,30982
I_3_7,42982,31406
I_3_8,42558,31830
I_3_9,42134,32254
I_4_1,46337,29346
I_4_2,45913,29770
I_4_3,45489,30194
I_4_4,45065,30618
I_4_5,44641,31042
I_4_6,44217,31466
I_4_7,43793,31890
I_4_8,43369,32314
I_4_9,42945,32738
I_4_10,42521,33162
I_5_1,46966,30033
I_5_2,46541,30457
I_5_3,46116,30881
I_5_4,45691,31305
I_5_5,45266,31729
I_5_6,44841,32153
I_5_7,44416,32577
I_5_8,43991,33001
I_5_9,43566,33425
I_5_10,43141,33849
J_1_1,38978,30852
J_1_2,38378,30852
J_1_3,37778,30852
J_1_4,37178,30852
J_1_5,36578,30852
J_1_6,35978,30852
J_1_7,35378,30852
J_2_1,39578,31852
J_2_2,38978,31852
J_2_3,38378,31852
J_2_4,37778,31852
J_2_5,37178,31852
J_2_6,36578,31852
J_2_7,35978,31852
J_2_8,35378,31852
J_3_1,40178,32752
J_3_2,39578,32752
J_3_3,38978,32752
J_3_4,38378,32752
J_3_5,37778,32752
J_3_6,37178,32752
J_3_7,36578,32752
J_3_8,35978,32752
J_3_9,35378,32752
J_4_1,40778,33652
J_4_2,40178,33652
J_4_3,39578,33652
J_4_4,38978,33652
J_4_5,38378,33652
J_4_6,37778,33652
J_4_7,37178,33652
J_4_8,36578,33652
J_4_9,35978,33652
J_4_10,35378,33652
J_5_1,40778,34552
J_5_2,40178,34552
J_5_3,39578,34552
J_5_4,38978,34552
J_5_5,38378,34552
J_5_6,37778,34552
J_5_7,37178,34552
J_5_8,36578,34552
J_5_9,35978,34552
J_5_10,35378,34552
K_1_1,27020,31568
K_1_2,26420,31568
K_1_3,25820,31568
K_1_4,25220,31568
K_1_5,24620,31568
K_1_6,24020,31568
K_1_7,23420,31568
K_2_1,30881,33058
K_2_2,30281,33058
K_2_3,29681,33058
K_2_4,29081,33058
K_2_5,28481,33058
K_2_6,27881,33058
K_2_7,27281,33058
K_2_8,26681,33058
K_2_9,26081,33058
K_2_10,25481,33058
K_2_11,24881,33058
K_2_12,24281,33058
K_2_13,23681,33058
K_2_14,23081,33058
